environmentId,processId,processName,packageId,componentType
497b3021-ef13-4e59-93b8-f30e245a317a,cdf69b00-e86d-4fca-9971-fef764c87b1b,HNK_NL_PRC_25590_SAP_TASPER_EmployeeBenefits,156a07a9-54b3-45a4-97a1-df16941facb0,process
497b3021-ef13-4e59-93b8-f30e245a317a,cdf69b00-e86d-4fca-9971-fef764c87b1b,HNK_NL_PRC_25590_SAP_TASPER_EmployeeBenefits,8248946a-4fdd-4038-aa27-0878ce9d1082,process
497b3021-ef13-4e59-93b8-f30e245a317a,1a06ea4e-50d2-482b-8d55-6b65579bb16b,HNK_GLO_PRC_05920_DiCE_SalesOrderSimulate,af46bde9-efbc-493d-b8d3-08b2a7a280f3,process
497b3021-ef13-4e59-93b8-f30e245a317a,1a06ea4e-50d2-482b-8d55-6b65579bb16b,HNK_GLO_PRC_05920_DiCE_SalesOrderSimulate,4c13be94-8cea-4a7f-ba94-0266a42c6d9c,process
497b3021-ef13-4e59-93b8-f30e245a317a,96446020-9dd3-4b74-9286-05cabe3eb7ab,HNK_GB_SUB_05941_DiCE_Hybris_PriceData,deb2ac2f-dc5a-4d20-982f-417a56cb9736,process
497b3021-ef13-4e59-93b8-f30e245a317a,96446020-9dd3-4b74-9286-05cabe3eb7ab,HNK_GB_SUB_05941_DiCE_Hybris_PriceData,17904b60-f226-43be-af42-4cf9533188ee,process
497b3021-ef13-4e59-93b8-f30e245a317a,96446020-9dd3-4b74-9286-05cabe3eb7ab,HNK_GB_SUB_05941_DiCE_Hybris_PriceData,d81ed88e-1b20-4095-a551-af35a1f5f8b9,process
497b3021-ef13-4e59-93b8-f30e245a317a,ab6d9772-960b-47ac-b6aa-43a6641c7cea,HNK_RW_PRC_23350_Heilite_EBM_Invoice,9a207b3b-3f29-4202-8f44-491839293e49,process
497b3021-ef13-4e59-93b8-f30e245a317a,e51e53f4-fc24-411f-8b47-192bc223b648,HNK_RW_PRC_23360_EBM_Heilite_InvoiceAcknwoledge,88f50efa-608f-452f-a867-ad2162f81bfe,process
497b3021-ef13-4e59-93b8-f30e245a317a,686b089c-d511-4077-a3aa-84e924b661ad,HNK_RW_PRC_07650_Heilite_Esker_Costcenter,761b008c-14a9-4a5b-8364-88bee876e006,process
497b3021-ef13-4e59-93b8-f30e245a317a,14228158-6138-4173-9fd6-29b88ca50edb,HNK_HRW_PR_07740_Heilite_to_Esker_PurchaseOrderHeader,88792711-2fbc-42b2-a8c8-b71d9c302693,process
