originalExecutionId,account,executionTime,status,executionType,processName,processId,atomName,atomId,inboundDocumentCount,inboundErrorDocumentCount,outboundDocumentCount,executionDuration,message,parentExecutionId,topLevelExecutionId,inboundDocumentSize,outboundDocumentSize,launcherID,reportKey,nodeId,is_outlier,is_outliertxt,nodeIdtxt,executionId
0.0,eonitalyspa-AEYI78,2023-08-17 07:37:40,COMPLETE,exec_listener,MMI_CLOUD_DISCO_HUB_NOTIFYMESSAGE,8468e90b-26d9-4f30-bf5d-3fb3fa426256,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,1.0,4440.0,0,0,0,1822.0,81.0,d6ba2d62-393e-4036-9c3e-5ca9e67ebd25,apim-azure,atom02[worker-1b77a1c6-6f7b-4900-b5df-04e05fb6eb27-2023.08.17],red,red,atom02,2023-08-17 07:37:40
0.0,eonitalyspa-AEYI78,2023-08-17 07:37:53,COMPLETE,exec_listener,DSDS_2_QUEUE_LISTNER,57738ab0-7358-4b52-a372-0a27fc9cd48e,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,4.0,8457.0,0,0,0,262.0,291482.0,0,0,atom05[execution-4cc4fcde-298d-4448-a86c-e84582c44d94-2023.08.17],red,red,atom05,2023-08-17 07:37:53
0.0,eonitalyspa-AEYI78,2023-08-17 07:37:56,COMPLETE,exec_listener,MMI_CLOUD_DISCO_HUB,e23981ff-d8bf-4d49-b0d2-0fcafba68c90,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,2.0,7942.0,0,0,0,1002.0,1844.0,0,0,atom04[execution-355c1338-cb5a-4db0-b0a8-86aa4b04165d-2023.08.17],red,red,atom04,2023-08-17 07:37:56
0.0,eonitalyspa-AEYI78,2023-08-17 07:38:03,COMPLETE,exec_listener,SendKit_2_QueueListener,481a5ead-8762-4511-9d4e-88e1cc40fdcf,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,2.0,5977.0,0,0,0,173.0,672.0,0,0,atom06[execution-17ba3df2-9059-4be4-8d1f-3ce721bbc2e2-2023.08.17],red,red,atom06,2023-08-17 07:38:03
0.0,eonitalyspa-AEYI78,2023-08-17 07:40:08,COMPLETE,exec_listener,MMI_CLOUD_FSM_INSERT_ORC,a4fe946e-7c67-427d-a9f5-bd6a587f1a46,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,1.0,9388.0,0,0,0,618.0,342.0,2b0c1747-1653-4425-837b-2c1d261e7fd5,apim-azure,atom03[worker-7a851859-7beb-4036-a044-ade271ae3a16-2023.08.17],red,red,atom03,2023-08-17 07:40:08
0.0,eonitalyspa-AEYI78,2023-08-17 07:40:42,COMPLETE,exec_listener,MMI_CLOUD_FSM_INSERT_ORC,a4fe946e-7c67-427d-a9f5-bd6a587f1a46,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,1.0,9399.0,0,0,0,618.0,342.0,2b0c1747-1653-4425-837b-2c1d261e7fd5,apim-azure,atom03[worker-93e7aa6a-3bbf-40a3-929f-b570ae3155fb-2023.08.17],red,red,atom03,2023-08-17 07:40:42
0.0,eonitalyspa-AEYI78,2023-08-17 07:41:03,COMPLETE,exec_listener,DSDS_2_QUEUE_LISTNER,57738ab0-7358-4b52-a372-0a27fc9cd48e,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,4.0,9991.0,0,0,0,262.0,547726.0,0,0,atom05[execution-d6b8ec02-2382-4cba-9346-531f309f496e-2023.08.17],red,red,atom05,2023-08-17 07:41:03
0.0,eonitalyspa-AEYI78,2023-08-17 07:41:12,COMPLETE,exec_listener,MMI_CLOUD_FSM_INSERT_ORC,a4fe946e-7c67-427d-a9f5-bd6a587f1a46,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,1.0,8963.0,0,0,0,618.0,342.0,2b0c1747-1653-4425-837b-2c1d261e7fd5,apim-azure,atom05[worker-59786727-0ff5-4223-9c53-12654490d0ac-2023.08.17],red,red,atom05,2023-08-17 07:41:12
0.0,eonitalyspa-AEYI78,2023-08-17 07:41:15,COMPLETE,exec_listener,SendKit_2_QueueListener,481a5ead-8762-4511-9d4e-88e1cc40fdcf,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,2.0,5301.0,0,0,0,173.0,672.0,0,0,atom04[execution-4fae3287-c875-47fd-87de-f8e3bc94e1a5-2023.08.17],red,red,atom04,2023-08-17 07:41:15
0.0,eonitalyspa-AEYI78,2023-08-17 07:41:43,COMPLETE,exec_listener,MMI_CLOUD_FSM_INSERT_ORC,a4fe946e-7c67-427d-a9f5-bd6a587f1a46,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,1.0,8950.0,0,0,0,603.0,342.0,2b0c1747-1653-4425-837b-2c1d261e7fd5,apim-azure,atom02[worker-1b77a1c6-6f7b-4900-b5df-04e05fb6eb27-2023.08.17],red,red,atom02,2023-08-17 07:41:43
0.0,eonitalyspa-AEYI78,2023-08-17 07:42:10,COMPLETE,exec_listener,MMI_CLOUD_FSM_INSERT_ORC,a4fe946e-7c67-427d-a9f5-bd6a587f1a46,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,1.0,8800.0,0,0,0,604.0,342.0,2b0c1747-1653-4425-837b-2c1d261e7fd5,apim-azure,atom03[worker-93e7aa6a-3bbf-40a3-929f-b570ae3155fb-2023.08.17],red,red,atom03,2023-08-17 07:42:10
0.0,eonitalyspa-AEYI78,2023-08-17 07:42:48,COMPLETE,exec_listener,DSDS_2_QUEUE_LISTNER,57738ab0-7358-4b52-a372-0a27fc9cd48e,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,4.0,8495.0,0,0,0,262.0,609514.0,0,0,atom06[execution-04b7f616-a56b-4291-811a-a9fd9cd463af-2023.08.17],red,red,atom06,2023-08-17 07:42:48
